state,district,market,commodity,min_price,max_price,modal_price
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Onion Green,4600,4600,4600
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Bhindi(Ladies Finger),3500,3500,3500
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Green Chilli,5000,5000,5000
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Coconut,6000,6000,6000
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Cluster beans,5000,5000,5000
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Onion Green,4000,4000,4000
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Brinjal,4000,4500,4250
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Bottle gourd,1000,1500,1250
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Ashgourd,1000,1500,1250
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Drumstick,3500,4000,3750
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Mint(Pudina),4500,5000,4750
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Potato,2800,3000,2900
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Garlic,18000,20000,19000
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Papaya,2500,3000,2750
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Bottle gourd,1200,1500,1350
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Green Chilli,5500,6000,5750
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Water Melon,1500,1800,1650
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Amla(Nelli Kai),5000,5000,5000
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Mint(Pudina),2800,3000,2900
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Papaya,3000,3500,3250
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Ashgourd,1500,2000,1750
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Pumpkin,1700,2000,1850
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Bhindi(Ladies Finger),5000,5500,5250
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Amaranthus,1500,2500,2000
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Banana - Green,3000,4000,3500
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Tapioca,2500,3000,2750
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Snakeguard,2000,2500,2250
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Beetroot,5500,6000,5750
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Mint(Pudina),3500,4000,3750
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Bitter gourd,1500,2500,2000
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Cabbage,500,700,600
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Chikoos(Sapota),1000,1600,1300
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Pomegranate,11000,15000,13000
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Ginger(Green),2200,4000,3100
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Green Chilli,4500,6000,5250
Maharashtra,Chattrapati Sambhajinagar,Paithan APMC,Wheat,2111,2325,2200
Maharashtra,Chattrapati Sambhajinagar,Sillod APMC,Maize,1400,1600,1500
Maharashtra,Buldhana,Buldhana APMC,Bengal Gram(Gram)(Whole),4500,5000,4750
Maharashtra,Buldhana,Buldhana APMC,Arhar(Tur/Red Gram)(Whole),7000,7300,7150
Maharashtra,Buldhana,Buldhana APMC,Soyabean,4800,5200,5000
Maharashtra,Gadchiroli,Armori(Desaiganj) APMC,Paddy(Common),2400,2600,2469
Maharashtra,Kolhapur,Kolhapur APMC,Cabbage,500,700,600
Maharashtra,Latur,Devani APMC,Arhar(Tur/Red Gram)(Whole),7600,7825,7712
Maharashtra,Pune,Pune(Khadiki) APMC,Bhindi(Ladies Finger),1800,2200,2000
Maharashtra,Pune,Pune(Khadiki) APMC,Bottle gourd,700,1000,850
Maharashtra,Pune,Pune(Khadiki) APMC,Cauliflower,700,1000,850
Maharashtra,Pune,Pune(Khadiki) APMC,Beans,1600,2000,1800
Maharashtra,Pune,Pune(Khadiki) APMC,Bitter gourd,1300,1600,1450
Maharashtra,Pune,Pune(Khadiki) APMC,Chilly Capsicum,1700,2000,1850
Maharashtra,Pune,Pune(Khadiki) APMC,Ridgeguard(Tori),1400,1700,1550
Maharashtra,Pune,Pune(Moshi) APMC,Grapes,7000,7000,7000
Maharashtra,Pune,Pune(Moshi) APMC,Mousambi(Sweet Lime),5000,5000,5000
Maharashtra,Pune,Pune(Moshi) APMC,Orange,5000,7000,6000
Maharashtra,Pune,Pune(Moshi) APMC,Onion Green,10,15,13
Maharashtra,Pune,Pune(Moshi) APMC,Bitter gourd,3000,4000,3500
Maharashtra,Pune,Pune(Moshi) APMC,Coriander(Leaves),7,10,9
Maharashtra,Pune,Pune(Moshi) APMC,Chilly Capsicum,4000,4000,4000
Maharashtra,Pune,Pune(Moshi) APMC,Pointed gourd(Parval),4000,4000,4000
Maharashtra,Pune,Pune(Moshi) APMC,Green Chilli,4000,5000,4500
Maharashtra,Raigad,Panvel APMC,Bhindi(Ladies Finger),4000,5000,4500
Maharashtra,Raigad,Panvel APMC,Guar,10000,12000,11000
Maharashtra,Raigad,Panvel APMC,Cucumbar(Kheera),3000,3500,3250
Maharashtra,Satara,Satara APMC,Bottle gourd,1000,1500,1200
Maharashtra,Satara,Satara APMC,Chilly Capsicum,3000,4000,3500
Maharashtra,Satara,Vai APMC,Cucumbar(Kheera),1000,2200,1800
Maharashtra,Satara,Vai APMC,Onion,700,1400,900
Maharashtra,Satara,Vai APMC,Cabbage,600,700,650
Maharashtra,Sholapur,Akluj APMC,Onion,250,1300,800
Maharashtra,Sholapur,Akluj APMC,Bitter gourd,2000,3400,2500
Uttar Pradesh,Jalaun (Orai),Jalaun APMC,Cabbage,600,600,600
Uttar Pradesh,Jalaun (Orai),Jalaun APMC,Bottle gourd,1200,1200,1200
West Bengal,Kolkata,Mechua APMC,Mousambi(Sweet Lime),8500,10500,9600
Uttar Pradesh,Baghpat,Khekda APMC,Brinjal,1300,1300,1300
Uttar Pradesh,Baghpat,Khekda APMC,Potato,600,600,600
Uttar Pradesh,Baghpat,Khekda APMC,Green Chilli,2500,2500,2500
Punjab,Mohali,Banur APMC,Banana,2500,2500,2500
Punjab,Mohali,Banur APMC,Grapes,7300,7300,7300
Punjab,Mohali,Banur APMC,Bhindi(Ladies Finger),5555,5555,5555
Uttar Pradesh,Sambhal,Sambhal APMC,Apple,6000,9000,6500
Uttar Pradesh,Sambhal,Sambhal APMC,Cauliflower,800,1050,1000
Uttar Pradesh,Balrampur,Tulsipur APMC,Potato,610,670,640
Uttar Pradesh,Balrampur,Tulsipur APMC,Green Chilli,5700,5750,5730
Uttar Pradesh,Balrampur,Tulsipur APMC,Paddy(Common),2000,2050,2030
Uttar Pradesh,Balrampur,Tulsipur APMC,Lentil(Masur)(Whole),7410,7470,7440
Uttar Pradesh,Balrampur,Tulsipur APMC,Wheat,2400,2480,2450
Tripura,North Tripura,Panisagar APMC,Bhindi(Ladies Finger),5900,6000,5950
Tripura,North Tripura,Panisagar APMC,Bitter gourd,5900,6000,5950
Tripura,North Tripura,Panisagar APMC,Cucumbar(Kheera),2900,3000,2950
Tripura,North Tripura,Panisagar APMC,Onion,1900,2000,1950
Tripura,North Tripura,Panisagar APMC,Potato,900,2000,950
Tripura,Dhalai,Kulai APMC,Bitter gourd,5600,6000,5800
West Bengal,Kolkata,Sealdah Koley Market APMC,Tomato,1400,1700,1500
West Bengal,Kolkata,Sealdah Koley Market APMC,Green Chilli,5000,6000,5000
West Bengal,Kolkata,Sealdah Koley Market APMC,Pointed gourd(Parval),5000,5500,5000
West Bengal,Bankura,Khatra APMC,Potato,450,520,500
West Bengal,Paschim Bardhaman,Durgapur APMC,Wheat,2600,2850,2700
West Bengal,Coochbehar,Pundibari APMC,Tomato,1800,2000,1900
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,French Beans(Frasbean),5600,5800,5700
West Bengal,Uttar Dinajpur,Raiganj APMC,Brinjal,2400,2800,2600
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Onion,1800,2200,2000
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Brinjal,3400,4200,3800
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Chikoos(Sapota),3600,4000,3800
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Tomato,1800,2200,2000
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),5000,5500,5250
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Amaranthus,3000,3500,3250
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,3600,4000,3800
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Amla(Nelli Kai),6400,7000,6700
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Onion,2000,3000,2500
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Potato,3500,4000,3750
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Bitter gourd,2600,3000,2800
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Amaranthus,1000,1500,1250
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Ginger(Green),6500,8000,7250
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Papaya,2500,3000,2750
Madhya Pradesh,Raisen,Gairatganj APMC,Maize,1530,1530,1530
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Brinjal,4500,5000,4750
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Coriander(Leaves),3500,4000,3750
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),3500,4000,3750
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Amaranthus,1500,2000,1750
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Green Chilli,4500,5000,4750
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Beans,7000,7000,7000
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Carrot,5000,5000,5000
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Snakeguard,3500,4000,3750
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Tender Coconut,2000,2500,2250
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Lemon,4500,5000,4750
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Cauliflower,2000,3000,2500
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Cluster beans,3500,4000,3750
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Cabbage,1500,2000,1750
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),5500,6000,5750
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Green Avare(W),7000,8000,7500
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Onion Green,3000,3300,3150
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Sweet Corn ,3000,3500,3250
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Coriander(Leaves),2000,2000,2000
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Bitter gourd,4000,4500,4250
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Banana - Green,2000,2500,2250
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Tapioca,2000,2000,2000
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Beetroot,5000,5000,5000
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Capsicum,6000,6000,6000
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Mint(Pudina),3000,3000,3000
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Onion,3600,3600,3600
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Bottle gourd,2400,2400,2400
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),4000,4000,4000
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Banana - Green,3500,3500,3500
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Raddish,3000,3000,3000
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Lemon,14000,14000,14000
Tamil Nadu,Coimbatore,Udumalpet APMC,Green Peas,5500,7000,6250
Tamil Nadu,Coimbatore,Udumalpet APMC,Cluster beans,3500,4000,3750
Tamil Nadu,Coimbatore,Udumalpet APMC,Ashgourd,1500,1800,1650
Tamil Nadu,Coimbatore,Udumalpet APMC,Pumpkin,1500,1800,1650
Tamil Nadu,Coimbatore,Udumalpet APMC,Cowpea(Veg),2500,3000,2750
Tamil Nadu,Coimbatore,Udumalpet APMC,Potato,2500,3000,2750
Tamil Nadu,Coimbatore,Udumalpet APMC,Beetroot,5000,6000,5500
Tamil Nadu,Coimbatore,Udumalpet APMC,Ridgeguard(Tori),4000,4500,4250
Tamil Nadu,Coimbatore,Udumalpet APMC,Mint(Pudina),4000,5000,4500
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Onion,2500,2500,2500
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Grapes,10000,10000,10000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Mousambi(Sweet Lime),6000,6000,6000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Ashgourd,2000,2000,2000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Coriander(Leaves),3000,3000,3000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Beetroot,2800,2800,2800
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Cucumbar(Kheera),2500,2500,2500
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Ridgeguard(Tori),4000,4000,4000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Thondekai,3500,3500,3500
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Green Avare(W),4500,4500,4500
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Knool Khol,2000,2000,2000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Marigold(Calcutta),14000,14000,14000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Lemon,8000,8000,8000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Onion Green,4000,4000,4000
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Onion,2400,3000,2700
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Green Peas,7200,7200,7200
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Coconut,6500,6500,6500
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Sweet Potato,5000,5000,5000
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Green Avare(W),7800,7800,7800
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Chow Chow,2400,2400,2400
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Drumstick,6000,6000,6000
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Lime,4000,4000,4000
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Guava,8000,8000,8000
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Onion Green,3000,4200,3600
Tamil Nadu,Villupuram,Tindivanam APMC,Tomato,1200,1200,1200
Tamil Nadu,Villupuram,Tindivanam APMC,Amaranthus,4000,4000,4000
Tamil Nadu,Villupuram,Tindivanam APMC,Snakeguard,3000,3000,3000
Tamil Nadu,Villupuram,Tindivanam APMC,Thondekai,3000,3000,3000
Tamil Nadu,Villupuram,Tindivanam APMC,Fig(Anjura/Anjeer),14000,14000,14000
Tamil Nadu,Villupuram,Tindivanam APMC,Yam(Ratalu),6000,6000,6000
Tamil Nadu,Villupuram,Ulundurpettai APMC,Banana,3000,4000,3500
Tamil Nadu,Villupuram,Ulundurpettai APMC,Cluster beans,5000,5000,5000
Tamil Nadu,Villupuram,Ulundurpettai APMC,Bitter gourd,5000,5000,5000
Tamil Nadu,Villupuram,Ulundurpettai APMC,Ashgourd,3000,3000,3000
Tamil Nadu,Villupuram,Ulundurpettai APMC,Amaranthus,2000,2000,2000
Tamil Nadu,Villupuram,Ulundurpettai APMC,Guava,5000,5000,5000
Madhya Pradesh,Vidisha,Kurwai APMC,Wheat,2415,2501,2501
Madhya Pradesh,Rajgarh,Khilchipur APMC,Wheat,2000,2226,2190
Madhya Pradesh,Rajgarh,Khilchipur APMC,Wheat,2100,2220,2190
Madhya Pradesh,Dhar,Manawar APMC,Maize,1450,1735,1735
Madhya Pradesh,Dhar,Rajgarh APMC,Onion,300,1200,1200
Madhya Pradesh,Jhabua,Petlawad APMC,Wheat,2100,2335,2335
Madhya Pradesh,Jhabua,Petlawad APMC,Wheat,2135,2335,2335
Madhya Pradesh,Alirajpur,Alirajpur APMC,Wheat,2215,2215,2215
Madhya Pradesh,Alirajpur,Alirajpur APMC,Tamarind Fruit,3500,3500,3500
Madhya Pradesh,Alirajpur,Alirajpur APMC,Wheat,2000,2211,2100
Madhya Pradesh,Badwani,Balwadi APMC,Wheat,2100,2100,2100
Madhya Pradesh,Khandwa,Pandhana APMC,Wheat,2211,2275,2275
Madhya Pradesh,Khandwa,Pandhana APMC,Kabuli Chana(Chickpeas-White),7260,7300,7300
Madhya Pradesh,Mandsaur,Piplya APMC,Wheat,2300,2300,2300
Madhya Pradesh,Mandsaur,Shamgarh APMC,Wheat,2300,2309,2309
Madhya Pradesh,Datia,Datia APMC,Wheat,2290,2305,2290
Madhya Pradesh,Guna,Guna APMC,Wheat,2575,2575,2575
Madhya Pradesh,Guna,Raghogarh APMC,Mustard,6215,6295,6295
Madhya Pradesh,Shivpuri,Karera APMC,Wheat,2015,2180,2150
Madhya Pradesh,Sagar,Deori APMC,Wheat,2100,2151,2151
Madhya Pradesh,Sagar,Shahagarh APMC,Soyabean,4800,4995,4995
Madhya Pradesh,Chhatarpur,Bijawar APMC,Wheat,2190,2300,2190
Madhya Pradesh,Tikamgarh,Niwadi APMC,Mustard,6400,6400,6400
Madhya Pradesh,Chhindwara,Chhindwara APMC,Maize,1690,1720,1720
Madhya Pradesh,Chhindwara,Amarwda APMC,Maize,1683,1850,1750
Madhya Pradesh,Mandla,Bichhiya APMC,Wheat,2150,2150,2150
Madhya Pradesh,Mandla,Bichhiya APMC,Paddy(Common),2025,2035,2035
Madhya Pradesh,Narsinghpur,Gadarwada APMC,Wheat,2150,2150,2150
Madhya Pradesh,Narsinghpur,Kareli APMC,Bengal Gram(Gram)(Whole),4955,4995,4995
Madhya Pradesh,Narsinghpur,Narsinghpur APMC,Maize,1695,1725,1725
Madhya Pradesh,Narsinghpur,Tendukheda APMC,buttery,3625,3625,3625
Madhya Pradesh,Seoni,Seoni APMC,Maize,1525,1600,1600
Madhya Pradesh,Seoni,Lakhnadon APMC,Maize,1800,1800,1800
Madhya Pradesh,Singroli,Singroli APMC,Same/Savi,2100,2100,2100
Gujarat,Narmada,Rajpipla APMC,Banana,2075,2225,2150
Gujarat,Navsari,Navsari APMC,Onion,800,1700,1250
Gujarat,Navsari,Navsari APMC,Brinjal,1500,2500,2000
Gujarat,Navsari,Navsari APMC,Cauliflower,2000,2500,2250
Gujarat,Navsari,Navsari APMC,Capsicum,3500,4000,3750
Gujarat,Navsari,Navsari APMC,Chikoos(Sapota),1000,1250,1125
Gujarat,Kheda,Nadiyad(Chaklasi) APMC,Tomato,850,950,900
Gujarat,Kheda,Nadiyad(Chaklasi) APMC,Brinjal,1200,1400,1300
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Cucumbar(Kheera),300,3000,1650
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Green Chilli,1000,5000,3000
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Tomato,300,1200,750
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Mousambi(Sweet Lime),3000,3500,3250
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Banana,1300,2250,1775
Karnataka,Haveri,Ranebennur APMC,Tomato,1500,2600,2100
Karnataka,Haveri,Ranebennur APMC,Maize,1600,1840,1720
Karnataka,Bellary,Hospet APMC,Onion,1200,1200,1200
Karnataka,Koppal,Kustagi APMC,"Sesamum(Sesame,Gingelly,Til)",9000,9000,9000
Telangana,Warangal,Warangal APMC,Yam(Ratalu),3500,4000,3750
Telangana,Warangal,Warangal APMC,Carrot,2000,2400,2200
Telangana,Warangal,Warangal APMC,Cauliflower,800,1000,900
Telangana,Warangal,Warangal APMC,Colacasia,2200,2600,2400
Telangana,Warangal,Warangal APMC,Chikoos(Sapota),2000,2500,2200
Kerala,Kannur,Kannur APMC,Onion,2200,2400,2300
Kerala,Kannur,Kannur APMC,Cowpea(Veg),4300,4800,4500
Kerala,Kannur,Kannur APMC,Coconut Oil,29000,30000,29500
Kerala,Palakad,Koduvayoor APMC,Banana,2500,2900,2700
Kerala,Palakad,Koduvayoor APMC,Lime,11500,11900,11700
Kerala,Palakad,Koduvayoor APMC,Coconut,4500,4900,4700
Kerala,Palakad,Koduvayoor APMC,Green Chilli,3300,3700,3500
Kerala,Palakad,Koduvayoor APMC,Cluster beans,3200,3600,3400
Kerala,Palakad,Koduvayoor APMC,Onion,3200,3600,3400
Kerala,Palakad,Koduvayoor APMC,Sweet Potato,1600,2000,1800
Kerala,Thirssur,Thrissur APMC,Banana - Green,2800,2800,2800
Kerala,Thirssur,Thrissur APMC,Bitter gourd,4000,4000,4000
Kerala,Thirssur,Thrissur APMC,Carrot,2500,2500,2500
Kerala,Thirssur,Thrissur APMC,Drumstick,5500,5500,5500
Punjab,Muktsar,Muktsar APMC,Apple,8000,12000,10000
Punjab,Muktsar,Muktsar APMC,Water Melon,1500,2500,2000
Punjab,Muktsar,Muktsar APMC,Capsicum,1500,2500,2000
West Bengal,Purba Bardhaman,Katwa APMC,"Sesamum(Sesame,Gingelly,Til)",6600,6800,6700
West Bengal,Purba Bardhaman,Katwa APMC,Rice,3180,3200,3190
West Bengal,Coochbehar,Coochbehar APMC,Cabbage,1000,1200,1100
West Bengal,Jalpaiguri,Dhupguri APMC,Potato,600,700,650
